industry,wr1,wr2,wr3,wr4,vol1,vol2,vol3,vol4,pe_ratio,debt_to_equity,quick_ratio,total_shareholder_return,profit_margin,free_cash_margin,volatility,cpi,interest_rate,unemployment_rate,sma,rsi,ema,label
Consumer Discretionary,-0.0945421498465019,0.0407117853012338,0.0191375212092993,0.0835760603768611,411900.0,469800.0,429800.0,441300.0,16.63,0.25,1.95,3.91,21.47,47.53,0.0401518049109706,258.678,1.58,3.5,188.0666666666667,0.0,187.3270833333333,0
Technology,0.000184647961714,-0.0095779316286532,0.0494779176818136,0.00869091210031,5574200.0,3282600.0,2748700.0,3022200.0,38.73,0.43,1.12,1.47,24.93,23.14,0.0280176385775849,264.877,0.07,6.1,156.03,58.39550221645582,157.40583333333333,0
Consumer Discretionary,-0.0321311845347288,0.0396452138050422,-0.0354883112777849,0.0085819281655,1687700.0,2322100.0,1709800.0,4410600.0,38.18,1.35,0.99,2.45,15.28,-7.57,0.0188154998244716,257.208,1.55,3.6,184.27,47.18749999999999,185.8370833333333,1
Technology,0.2775329990338387,0.0673980910071353,0.0574586159340015,0.0287012874738579,32905000.0,124614000.0,12562000.0,3580000.0,78.66,0.15,1.67,-301.52,9.2,-50.59,0.0444679518330091,244.733,0.91,4.4,5.255666666666667,78.17422916386163,5.101333333333334,0
Industrials,0.0012777215624178,0.0340065259791871,0.0146908015129468,0.0061876497062852,6580200.0,8056200.0,6430200.0,6141700.0,13.1,0.48,0.46,-1.61,33.69,-5.96,0.0270744119948138,264.877,0.07,6.1,30.11333333333333,60.25961058412379,30.45958333333333,1
Industrials,-0.0137241244632361,-0.0198714230282665,0.0351266225885283,0.0170581411864377,998400.0,1358300.0,1247000.0,1409700.0,23.82,0.12,1.78,4.69,2.22,-2.11,0.0347678395650162,244.955,1.16,4.3,31.350000000000005,51.3733468972533,31.52458333333333,1
Industrials,0.0219714337324663,-0.0175026715555584,-0.0178775744323531,0.0217801087701852,361875.0,203125.0,205078.0,184570.0,31.23,0.42,1.13,-1.54,11.92,14.43,0.0259822920278952,244.524,0.91,4.4,43.98037333333334,85.42199488491045,43.9408,1
Energy,0.0356174127311008,0.0342734399267148,0.0273055437464449,0.043750059912767,4602500.0,3458100.0,4064300.0,4988600.0,11.88,1.11,1.06,2.34,8.37,-14.6,0.0244275838911262,251.989,1.91,4.0,45.333333333333336,71.78929037875488,45.47458333333333,1
Industrials,0.0094050251654314,0.0257254143733409,-0.0423261724231082,0.0687333440937096,12125400.0,8457400.0,13626200.0,10746900.0,-22.86,-3.75,0.31,-1.08,-8.71,-25.42,0.021542327622353,296.311,1.58,3.6,138.6233333333333,53.41812400635925,138.43416666666667,0
Health Care,0.0367398534327148,0.0052483323814818,0.0042948018986134,0.0428542261402601,696200.0,805000.0,1353200.0,471700.0,-169.96,1.0,9.02,-2.31,-6.1,16.35,0.0428843281920935,252.006,1.91,3.8,107.79666666666668,70.85714285714296,107.18541666666668,0
Finance,0.0298972934546226,-0.0035748380444853,0.0342619571187831,-0.010246384213907,1690800.0,1404450.0,598650.0,490200.0,59.96,0.25,0.68,1.02,10.31,12.8,0.0189483544826981,255.548,2.41,3.6,28.37393333333333,92.83010121301064,28.364255555555555,1
Industrials,-0.0881119051728201,0.0203854873713533,0.0693024189537516,0.1249204085536253,1690100.0,1743500.0,1743500.0,2912500.0,7.05,0.35,0.93,0.54,48.0,11.83,0.0236484123360441,304.127,5.08,3.7,199.7933333333333,0.0,198.9958333333333,1
Technology,0.0361155544050913,-0.1029517832851037,-0.0218309485990356,0.0700828424581827,25395600.0,23284100.0,23284100.0,21152900.0,-55.94,0.11,4.2,-11.81,-22.71,4.54,0.0484220201996608,289.109,0.33,3.6,12.493333333333334,67.81115879828326,12.640833333333331,0
Telecommunications,0.0020293443537607,0.031155578628944,0.0108107891650764,0.0378892897231452,3324500.0,3368400.0,3332400.0,2575700.0,51.12,1.63,0.72,-44.66,4.72,2.42,0.0278889820938937,267.054,0.07,6.1,132.39,62.52657151533539,132.59041666666667,0
Technology,0.0332370469239624,-0.0142449039708813,-0.0219436567836604,0.0539648600772113,14068400.0,7555300.0,12821900.0,15261700.0,8.58,-1.8,0.3,18.34,7.25,6.12,0.0229833685724986,276.589,0.08,4.5,28.12333333333333,70.83839611178618,28.16916666666667,1
Consumer Discretionary,0.025989588667802,0.0275267079742688,0.0032976060573492,-0.0574980402251975,500600.0,592400.0,644800.0,822300.0,-41.34,1.62,0.75,-1.35,0.85,-1.31,0.0339748815018017,237.945,0.14,5.0,25.35,91.06529209621978,25.417916666666667,1
Technology,-0.0269410426103798,0.0519191719321933,-0.0341327533952938,0.0799852107309386,965200.0,965200.0,1607300.0,1269800.0,13.78,0.6,2.0,4.63,21.04,41.53,0.0354868923571278,303.363,4.83,3.4,498.2433333333333,42.61439246596372,503.7841666666667,1
Health Care,-0.0132792135897162,0.0023349649712643,-0.0046485996284475,0.0706732023340708,2029600.0,883300.0,1232000.0,957100.0,20.05,1.56,0.53,3.53,0.29,1.3,0.0207196975836977,257.208,1.55,3.6,117.49666666666666,45.24158125915084,117.66458333333333,0
Industrials,0.0290846665685454,-0.0097436131149345,0.0085053294181852,0.0073619442225424,243700.0,203400.0,211800.0,392600.0,34.4,-12.77,2.81,-1.26,9.53,18.34,0.0188931177625904,256.571,2.41,3.7,498.0866666666666,92.39674593241526,496.8379166666666,0
Industrials,-0.0357199949601573,-0.0056701042949363,0.0067391168131679,-0.033412891551893,1421800.0,3050300.0,1927000.0,1194700.0,18.36,0.28,1.02,8.29,6.9,10.72,0.0224748595444168,241.353,0.41,4.7,121.92000000000002,20.31201248049913,122.45375,1
Health Care,0.0076594753268023,0.0280108188299008,0.0087239341448174,0.012658316986067,707800.0,1039100.0,1173700.0,1938800.0,15.73,0.81,1.21,2.08,22.97,53.73,0.0339823539864991,274.31,0.08,4.8,80.02666666666667,66.28895184136012,80.06333333333333,0
Telecommunications,-0.0026815876450861,-0.0024693810145631,-0.0059319349837519,0.1116414381503278,10556800.0,16919100.0,10638000.0,9447000.0,11.44,4.67,0.88,5.05,14.28,13.05,0.015264193341649,245.519,1.16,4.4,48.06,59.22580645161306,48.20375,0
Utilities,0.0137787758825114,0.0020711839365701,0.0269408526377823,-0.014325775948273,4400800.0,6643400.0,6643400.0,2666300.0,23.11,1.65,0.61,2.08,11.26,21.23,0.0177241870538189,305.109,5.07,3.6,29.23,80.10471204188472,29.275,0
Consumer Discretionary,0.0188171862108693,0.0086426393956422,0.0052810486297211,0.0385704226383517,3614400.0,4350400.0,6816000.0,4716000.0,12.3,0.79,1.73,-0.31,18.9,7.73,0.0254271479463703,243.801,0.66,4.4,7.552083333333333,83.12985571587116,7.550260416666667,0
Health Care,0.0382246598264584,0.0418141450828932,0.0251757905763221,-0.0397473750745866,1509300.0,1716500.0,1746300.0,903500.0,-99.51,0.42,4.62,-3.86,-30.34,-22.46,0.0357853297966272,233.707,0.12,5.7,97.95,66.83195592286502,97.62208333333334,1
Energy,0.0162506062947931,0.0389378428267561,0.1378502567291423,-0.0928360781752113,12350400.0,14013200.0,8369300.0,7597900.0,41.82,0.62,1.47,5.66,22.44,1.95,0.0248826972511752,252.038,2.2,3.8,25.38416666666667,47.358332923772586,25.166850000000004,1
Technology,-0.0166688519666884,-0.019918742429926,0.0567300282531299,0.0188111362466206,646000.0,632800.0,658300.0,550500.0,47.87,0.15,0.82,-0.89,26.23,37.23,0.0254503380610086,260.388,0.09,6.9,224.18,25.323238206173578,223.40541666666667,1
Consumer Discretionary,0.0615105273105985,0.0013584720672827,-0.0095693318027683,0.0213804092693073,1974800.0,1376500.0,937100.0,1028000.0,38.07,5.86,1.34,4.05,14.21,19.92,0.0200802269816209,269.195,0.06,5.8,68.93333333333332,100.0,69.18416666666667,0
Consumer Discretionary,0.0011206982859548,0.0350186237881368,0.0292398141033923,-0.0188525910166673,1274300.0,1294900.0,2237800.0,2147200.0,25.72,0.59,1.07,3.57,10.9,-2.89,0.0195273908102753,236.525,0.36,5.0,88.74,62.30259806418738,88.94708333333332,0
Telecommunications,-0.0230106773757712,0.0175242138573838,0.0097888866658474,0.0145146611245153,14097200.0,15615000.0,13840600.0,18316100.0,16.58,4.8,0.67,4.32,13.9,-5.24,0.0153355878590038,242.839,0.66,4.7,52.900000000000006,11.494252873563022,53.03,0
Telecommunications,0.0101115287014986,0.0330261378843747,0.002309492423817,-0.0234551967806732,152600.0,114100.0,89200.0,114600.0,15.11,0.07,20.31,-76.01,18.38,12.37,0.0162257019284201,241.353,0.41,4.7,67.71000000000001,66.0112359550562,67.6575,1
Real Estate,-0.0374776844609047,0.0136439564173741,0.0238651022354993,-0.0123598159983652,3106300.0,4242900.0,4767100.0,4899700.0,45.73,0.73,1.05,2.77,14.87,21.78,0.0196263272850721,249.554,1.42,4.0,34.34,13.700787401574775,34.37708333333333,1
Finance,-0.057635347253484,-0.0152248644624912,-0.0198959318926661,-0.0455115560313288,986900.0,826300.0,1002600.0,498600.0,29.55,1.56,0.54,1.22,13.32,16.23,0.0187681424102765,298.012,3.08,3.7,162.90666666666667,6.3258455977279695,162.24791666666667,1
Utilities,-0.0010721644338507,0.0336162955266661,0.0048254312189115,0.0251142180584407,1882100.0,2177300.0,6268100.0,2864900.0,-140.39,1.59,0.31,-5.89,-1.35,-62.17,0.0143483769281716,254.202,2.41,3.8,27.933333333333334,51.62094763092255,27.920416666666668,1
Consumer Discretionary,0.0345222691461246,-0.0050002616526879,0.0215424177983679,-0.0342627313117878,959700.0,1430100.0,1815400.0,3094500.0,43.59,0.49,1.19,3.38,12.35,-16.78,0.0330568673299288,256.571,2.41,3.7,189.9833333333333,75.06650544135402,189.46916666666667,0
Finance,-0.0064705120590875,-0.0291000150483205,0.0057117796069799,0.0131611498887541,1161900.0,1631500.0,1378400.0,1768000.0,23.23,2.85,0.26,4.88,23.98,8.67,0.017674056935563,257.797,0.09,11.0,187.38333333333333,60.94444011532767,188.665,0
Consumer Discretionary,0.011818561050918,0.0200746467608637,0.0292559189631146,0.0174883134472173,3016500.0,3208400.0,2346700.0,3128300.0,21.2,0.11,0.52,3.27,8.13,14.85,0.0276051041239349,238.132,0.36,5.0,57.25000000000001,74.272173324306,57.53541666666666,1
Technology,-0.0206310164693215,0.0007245659125519,-0.0125184066447224,0.0046111222981971,227400.0,251800.0,293700.0,404800.0,19.06,1.09,1.87,5.41,20.96,27.01,0.0229410730613835,244.786,1.16,4.3,162.00666666666666,33.159268929503824,162.24166666666667,1
Health Care,-0.0318209476865532,-0.0301385222545106,0.000723917405089,0.0002412919696273,5337600.0,4806600.0,7285400.0,7066900.0,16.89,-2.33,0.38,7.82,8.08,5.04,0.0145886090953714,236.119,0.12,5.4,78.09000000000002,25.438596491228022,78.09541666666667,1
Utilities,-0.0129518404422139,0.0010807772753244,0.0487251961687126,-0.0259381694586094,13259700.0,14652700.0,14652700.0,16205600.0,564.52,1.24,0.22,4.78,10.59,27.42,0.0189835540685488,240.628,0.4,4.8,18.426666666666662,30.64516129032234,18.38,1
Utilities,-0.1121517868912094,-0.0363420206547809,0.0240819601442355,-0.180095846046487,1361200.0,1372000.0,1195200.0,297400.0,51.0,4.1,0.84,-27.05,0.78,1.36,0.0214388118326323,236.525,0.13,5.0,37.07333333333333,0.0,37.02666666666667,0
Utilities,0.0175651097198127,-0.0016945744323999,0.0053726876733461,0.0092578915692938,807400.0,1241100.0,1072400.0,1747400.0,-15.51,2.09,0.4,4.09,15.65,-27.0,0.0152465219401441,245.519,1.16,4.4,76.69666666666667,63.353692393114834,76.80083333333334,1
Health Care,0.0227885396436562,-0.0161918871356005,-0.005394845244089,0.0298790431034737,1279100.0,1166300.0,1563400.0,978100.0,9.42,0.73,1.32,13.48,12.55,-16.41,0.0369605081916793,261.582,0.09,6.3,248.19333333333336,82.22429036761267,248.3408333333333,1
Consumer Staples,0.0035648869829709,-0.0498428751531028,-0.0157179059477048,0.0917839163770792,4714500.0,2678000.0,2678000.0,4200200.0,-47.22,2.03,0.3,7.96,-0.98,2.43,0.018119266387649,260.474,0.09,6.7,39.563333333333325,50.59288537549382,39.516666666666666,0
Energy,-0.0783686834912253,-0.004862638857131,0.0379500763882239,0.0099990710480212,3525100.0,4668700.0,4467800.0,7890100.0,4.46,0.58,1.08,-3.99,4.61,9.87,0.0216827074752524,300.84,4.58,3.6,98.62333333333332,8.747514910536838,98.81,1
Utilities,-0.0229858202256594,-0.0124034062758031,0.0084965202978635,0.0102527740527196,2085400.0,4920500.0,5116300.0,5870300.0,59.06,2.13,0.45,-0.49,-12.68,-3.84,0.0161452347105947,299.17,4.33,3.4,41.20666666666667,28.089887640449312,41.27583333333333,1
Health Care,-0.0017042398943626,-0.0545367091299884,0.0067382303234303,0.0340644169308321,20875735.0,33894005.0,32316589.0,34165726.0,13.53,0.83,0.44,8.5,-31.63,194.85,0.0172750074437248,258.678,1.59,3.5,35.52913333333334,47.80393670397529,35.62116666666667,1
Technology,0.0799643146871948,-0.1018497143463452,0.2202871105960357,-0.0008353777872568,281500.0,590500.0,781400.0,1052900.0,46.52,0.23,1.3,2.17,13.56,22.37,0.0382934797823904,256.558,2.12,3.7,85.15999999999998,89.12326961107455,84.62333333333333,0
Industrials,0.0205290422933655,-0.0234700363574437,-0.0063967793624604,0.0005671406611027,1534000.0,1463000.0,822600.0,1251600.0,22.71,0.56,0.77,2.4,32.0,31.23,0.0167397631749341,283.716,0.08,3.8,123.17333333333336,56.078224101479975,122.50291666666666,0
Utilities,-0.0328060618602225,-0.0195290152537496,0.0122092485556824,0.0035006636772258,23290500.0,19527400.0,14484600.0,21025500.0,16.98,2.36,0.68,0.09,9.16,-17.76,0.0223518566046837,304.127,5.08,3.7,16.560000000000002,9.259259259259414,16.591250000000002,0
Consumer Discretionary,0.0828318537214516,-0.0278969317316939,0.044725126197445,0.0065808381818403,438400.0,376700.0,698100.0,391600.0,146.63,1.71,1.37,-0.23,5.01,10.15,0.0252675640447905,260.474,0.09,6.7,1415.4133333333332,98.8632404181186,1408.8725,1
Industrials,0.0136549121692457,-0.0075288942134134,0.0324902060727346,-0.0707609410196504,698800.0,1021500.0,583000.0,533700.0,28.69,1.37,0.65,1.76,11.67,12.49,0.0202308475479839,304.127,4.83,3.7,325.18333333333334,63.43651499232202,324.9725,0
Industrials,0.0353999290928775,-0.0091503317053005,-0.025477746445733,-0.0804373167379326,3882600.0,4750600.0,4270100.0,3052500.0,182.99,0.41,1.04,10.85,0.57,-7.46,0.0256613928504951,256.092,2.38,3.7,23.42,63.49206349206351,23.35333333333333,0
Finance,0.0098230274031076,0.0217260836920407,0.0002749578559918,0.0134829099896316,1579300.0,3252900.0,1434600.0,1987900.0,23.93,0.47,0.05,3.78,28.89,40.33,0.0273120245487572,256.571,2.4,3.7,86.49333333333334,69.1006917755572,86.6625,1
Industrials,-0.0341754868712712,0.0248173050696132,-0.029000754117925,-0.0517359672560513,828700.0,1588700.0,1050800.0,991000.0,26.06,1.81,7.95,0.46,14.37,0.46,0.0344591793013007,296.808,2.33,3.5,93.08666666666667,23.335027961362474,93.06875,0
Consumer Discretionary,-0.0268882750884525,-0.0302734221477296,0.1128016220547712,-0.1788327802260468,4337600.0,5951600.0,5145700.0,5913100.0,41.84,0.43,1.8,0.28,42.09,33.22,0.0367215044154629,297.711,3.83,3.6,95.87333333333332,33.49875930521085,96.53333333333332,1
Energy,0.0086277962850423,-0.0030282209982397,0.0245605984164601,-0.0135169430097666,4079100.0,4365300.0,7116200.0,1955300.0,16.6,1.1,0.49,6.38,12.73,7.03,0.0153178862540276,273.567,0.1,5.2,39.75,32.412523020257794,39.56625,1
Energy,0.0484555271052745,-0.0353491294248242,0.0341389684671855,-0.0463567035489003,408600.0,499500.0,394500.0,799100.0,9.03,0.72,0.6,5.25,7.93,28.16,0.0206643694191694,299.17,4.33,3.4,34.44,97.47793190416154,34.373333333333335,1
Energy,-0.0844491307110582,0.0376906369266842,-0.0587650259197658,-0.0249225340477298,20300.0,54800.0,22900.0,30100.0,62.61,0.0,18.16,1.0,59.47,42.82,0.0210968168136608,274.31,0.08,4.8,1326.1966666666667,0.0,1324.0716666666667,0
Utilities,0.0234497834820535,0.0191414653541979,-0.0027108163300224,0.0308568438139524,1018000.0,1368100.0,1283500.0,1710000.0,-37.09,-302.17,0.86,-0.44,-10.9,4.14,0.0646323091220527,274.31,0.08,4.8,90.48666666666668,65.78524470416365,90.6,0
Industrials,-0.0006437131352964,0.003946372733946,0.0281217801406833,0.0535043454742922,1436800.0,1447800.0,1394700.0,2257400.0,21.75,9.92,0.44,6.27,7.47,12.39,0.0201924613574269,246.524,1.33,4.1,295.6266666666667,36.656891495601215,295.38250000000005,1
Industrials,-0.0059973060061051,-0.0272865329075583,-0.0297607815006741,-0.114756686821642,5507600.0,5657000.0,5891000.0,5255100.0,5.65,0.79,0.78,8.24,10.6,8.64,0.0268016132516665,296.276,1.58,3.5,51.61333333333334,40.15544041450785,51.56,0
Industrials,-0.0073598660209947,-0.0117325558406673,-0.0003455505806968,0.0082472085331117,2937724.0,2937724.0,4012980.0,3739666.0,22.96,0.14,1.2,-0.05,12.14,8.66,0.023159839163866,236.599,0.13,5.4,63.93273333333333,46.201540677647465,64.22011666666666,1
Utilities,0.0433117427893284,-0.0415137596860644,0.0042538757622764,0.0506554920884734,2185400.0,2085600.0,1569100.0,2530700.0,1.9,4.21,1.03,9.87,13.99,19.39,0.0241433621795687,260.28,0.09,7.9,34.66333333333333,85.891089108911,34.79708333333333,0
Industrials,0.0520031689428956,0.0754699170913128,0.140885525100223,-0.1172445278582662,2348700.0,3304700.0,3280400.0,4067900.0,4.78,0.41,1.28,6.84,21.71,21.22,0.0226101369660985,283.716,0.08,3.8,119.11333333333334,76.51114120398866,119.81375,1
Utilities,0.0167713831696479,0.077560489262103,0.087632867170876,-0.0763995150825394,5069200.0,5664500.0,6258100.0,6106800.0,-0.66,7.97,1.2,10.75,2.38,8.52,0.0241572627045574,239.261,0.37,5.1,14.309999999999995,74.86535008976666,14.360833333333334,1
Energy,0.0075563368670174,-0.0169781777115879,-0.0611298404095444,0.1056823367589849,827000.0,1394900.0,1216500.0,1216500.0,122.79,1.64,1.28,-0.31,6.35,6.46,0.0238718502601026,278.802,0.08,3.9,75.18666666666667,53.19949811794231,74.75583333333333,0
Consumer Discretionary,-0.0360082808416276,0.0079150616096841,0.0387005380751447,-0.0153995939123436,3619500.0,5748100.0,3366400.0,3334200.0,21.17,1.6,1.21,6.74,12.38,23.67,0.0434474336872244,240.849,0.4,4.9,50.48333333333333,23.331328923631908,50.69208333333333,1
Health Care,-0.0314896136200109,0.0269483517117339,0.0441191396727289,-0.028643534093405,3887900.0,2244100.0,1804700.0,2375400.0,37.9,3.04,2.31,1.84,23.45,32.7,0.0141982251133295,252.038,2.2,3.8,92.12333333333332,26.387009472259592,92.42791666666668,0
Health Care,-0.029325797061041,-0.0453318953253506,0.0073426096381729,-0.0003718992838018,951400.0,1487600.0,979200.0,1306300.0,17.09,0.7,0.98,2.51,11.28,16.99,0.0194307931824835,252.885,2.18,3.8,100.21666666666664,13.14255431902471,100.51291666666664,1
Utilities,0.0007787761601038,0.0064754911318425,0.0349693663974334,-0.0385696298022752,2637000.0,3204400.0,1375600.0,1375600.0,-46.61,1.65,0.28,-1.45,-25.79,-6.8,0.01562886478537,252.006,1.91,3.8,58.45166666666668,40.98810612991754,58.17,1
Technology,0.0565052925568315,0.0796238537660398,-0.0311607672827158,-0.0831913885014263,7129000.0,8627000.0,6858000.0,9679000.0,156.63,0.5,1.95,-1.73,18.02,54.24,0.0435091563027775,260.28,0.09,7.9,47.133333333333326,82.54388074056259,47.653,1
Consumer Discretionary,0.0101179117638311,-0.0563700457471311,0.0543493354647423,-0.1174752149883267,9239200.0,6623800.0,6523600.0,4940700.0,44.57,1.1,1.22,2.74,48.72,57.39,0.0215734918236329,252.885,2.2,3.8,192.14666666666665,63.01020408163264,194.5383333333333,1
Industrials,0.0198883732164731,0.0116787887991147,-0.0243978537124005,0.0155965921564795,228400.0,328100.0,163800.0,196600.0,63.17,0.11,1.03,-0.32,15.94,22.36,0.0253930508781085,297.711,3.83,3.6,162.65666666666667,66.97104096008361,162.16416666666666,0
Telecommunications,-0.013984226131174,-0.0202968214760434,-0.1089634820463024,0.2974042829331603,4393800.0,3709000.0,4347400.0,7275900.0,-13.63,0.23,2.62,-3.06,-12.7,15.22,0.0504894899900424,307.026,5.33,3.8,78.36,32.31170524942941,77.755,1
Utilities,-0.0171474192670383,0.0225011783242782,0.0024903837847965,-0.0064038124442728,2238500.0,2346400.0,2669300.0,3028000.0,19.01,1.3,0.25,3.28,11.22,-27.26,0.0130166273507553,251.588,1.7,3.8,69.13666666666667,11.282051282051468,69.08458333333334,0
Industrials,-0.0065375253660468,0.0093344908281805,-0.0748903083963135,0.0372973275709178,1477600.0,1115900.0,1309600.0,1342200.0,60.16,0.59,0.7,-21.39,7.56,-4.22,0.0171727569506363,289.109,0.33,3.6,124.87,78.5714285714285,124.5525,0
Consumer Discretionary,0.0319344440324029,0.0118671546167378,0.0229633023680618,0.009151472626675,1029900.0,1298300.0,1006400.0,1950800.0,52.53,1.07,0.7,9.49,2.87,8.91,0.0239081704440224,277.948,0.08,4.2,72.74333333333333,81.95488721804514,72.78541666666666,1
Consumer Discretionary,-0.0452560886725987,0.0532302067396336,-0.1174461198623045,0.1091024295111947,601000.0,710100.0,1126300.0,706000.0,6.06,0.85,0.3,8.8,14.47,14.05,0.0310246095847868,300.84,4.58,3.6,126.5333333333333,6.262230919765381,126.19166666666666,1
